16.4175	4.70352	12.743	6.65487	9.82844	6.07405	15.9992	11.8078	5.83784	11.9822	

17.4704	12.3121	4.09653	7.59037	15.6649	11.0981	14.1369	14.3528	15.2087	7.82527	
15.8189	10.1066	14.0994	6.95156	3.88538	15.419	4.75799	6.58299	6.76347	17.3804	



12.0473	13.5998	6.79443	12.1093	10.2297	5.89765	8.25591	6.88389	17.3777	11.8037	
12.7219	12.4312	3.19277	7.57063	16.2628	4.45968	15.365	5.33167	14.5785	13.0656	
4.8401	17.5817	10.506	6.94659	7.83722	4.75049	13.5035	4.59525	12.4983	12.475	
5.25271	10.9479	14.5668	17.7916	9.85893	13.5521	10.5851	8.45663	15.5223	12.3748	
7.50439	12.3531	10.5315	5.7684	10.7399	13.2674	3.28863	10.4863	13.8706	14.7627	
12.5816	5.54622	13.855	8.05087	11.8118	10.8481	9.59229	13.9433	9.62583	9.39655	
15.5022	9.47004	9.99678	11.6809	14.5132	8.13761	12.2201	6.2126	8.15645	6.57104	
9.06968	14.7012	12.4663	4.81716	9.87338	13.0654	6.46231	4.19256	15.9528	12.2827	
5.31302	3.35678	17.6427	8.47329	12.4965	11.2911	12.5231	13.3164	14.3682	17.2451	
17.579	5.43658	14.2425	12.1649	14.0946	7.06963	10.6809	10.8373	5.06498	7.41471	
11.8062	5.2033	16.8615	16.1644	17.1217	6.34716	4.40546	12.2502	9.05785	5.97639	
9.22844	12.4157	12.3233	4.63501	16.9775	14.5957	3.23601	15.5727	8.47322	6.37011	
8.47366	16.2829	12.0051	3.18309	10.347	7.41161	5.03183	6.51875	10.7013	4.6021	
13.5919	7.78163	16.8638	16.4252	9.77492	4.40806	10.5535	4.97196	3.77934	16.104	
17.5357	9.22002	14.4564	10.5432	7.13292	3.75103	13.0585	9.23302	14.5696	12.7769	
6.40563	15.152	9.91866	8.99	8.12973	13.3672	11.8785	14.0156	12.7219	15.3059	
8.35449	10.7595	10.7237	6.77292	11.9179	13.5521	8.55257	7.10892	10.0354	11.1248	
13.3555	7.76104	5.0689	6.92038	12.8575	14.1658	12.369	4.95233	15.4416	17.5872	
7.08218	16.5307	15.45	13.0979	4.26044	4.75126	6.7992	5.99903	8.72636	3.53711	
9.61974	7.90958	17.1846	8.18061	9.99084	10.5646	11.4245	13.8436	13.3837	6.98126	
3.76799	7.06778	8.49454	6.50486	11.6844	9.77091	10.0051	5.16	9.41866	16.9982	
6.24051	15.0172	15.628	15.6754	15.2556	9.83151	16.624	7.47354	14.6334	3.34197	
9.29218	8.70521	17.1264	5.64729	17.7367	14.2103	5.95064	17.6261	10.6239	4.07375	
8.48175	4.69041	15.0543	14.3711	17.6854	10.4212	6.79827	9.18752	15.0455	11.9315	
